score,review
10,요즘의 가짜 티 팍팍 나는 CG보다 이 시대의 실물 특수 효과가 훨씬 더 재밌어유. 이 영화 본 후로는 남자가 다른 영화에 출연해도 파리로 보이더라구유. 실제로 생긴 것도 파리 많이 닮았어유. 얼굴이 개상 말상 고양...
10,줄거리에 결말까지 다 써놨네... 
10,충격적인 결말. 25년이 지난 지금보아도 훌륭하다. 
9,"고어틱한 장면이 많아, 저급한 호러 무비로 판단했다면 상당한 오산. 인간의 지나친 욕망이 부른 파멸과 인간윤리를 침해하는 과학의 오만함을 절묘하게 고발한 수준 높은 영화. 거기에 사랑하는 연인의 파멸을 지켜 볼 수 ..."
10,기괴하고 주인공이 변해가는 과정이 너무 흥미로움 
10,경고 : 이 영화 보면서 음식먹으면 100% 속이 거북해지거나 심지어 오바이트까지 할수있으니 주의바랍니다 
7,에프킬라만 있었어도　 
10,1988년작이라고는 믿기지 않는 비주얼을 겸비한 명작. 단순히 징그러움을 떠나 우리에게 많은 것을 이야기 하는 듯... 
10,재미도 있고. 과학에 대한 생각도 하게되고.. 여배우도 이쁘다. 
10,지금봐도 참충격적인 영화 이런영화를 80년대에 만들었다니 대단함! 
8,가히 놀라울만한 감독의 창의력 대단하단 말밖에... 
10,30년 다 되어가는 영화인데 우리나라는 아직도 웹툰이나 영화로 만들고 있으니 쓴웃음만 나온다.대단한 작품임 
9,예쁜 지나 데이비스와 징그러운 물체의 대조되는 비주얼이 충격적이다. 너무 충격적인 특수효과의 비주얼은 더 씽에서도 그랬지만 요즘의 CG보다 더 리얼하고 훌륭하다. 물론 그로인해 보는내내 오만상이 지어지고 손가락이 오...
8,당시에 충격적 한컷 한컷 거기에 애틋한 로맨스로 관객을 농락 했지요... 
8,자신의 머리에 총을 겨누는 마지막 인간성.. 
8,파리만 안 들어 갔으면......영화보는 내내 주인공에 대한 안타까움을 느끼며 보았다. 
9,어릴적 어렴풋이 봤던 기억에 다시봤더니 놀랍다 
8,어후.... 더럽지만 몰입도가 상당히 높았다 
10,탈피하는 과정은 정말 역대 최고로 기괴하다 
10,명보극장에서 봤을때 그때의 그 경악스러움이란... 
8,파리가총으로자기머리겨눈것에서감동..ㅠ스토리전개상긴장늦추지않고유지해나가는거좋았는데마지막에애기도안알랴주고파리죽자마자끝나서허무.. 
9,요즘의 기교부리는 공포가 아니어서 더 충격적. 팔씨름장면부터 시작해 몇 개의 역겨운 장면이 오히려 신선하게 느껴졌다. 이게 진정한 하드코어지... 개인적으로 꼽는 명대사는 '당신을 보는게 두려웠는데 이젠 영영 못볼까...
9,괴물로 변해가는 한 남자의 심리를 잘 그린 공포영화 
7,너무나 슬프고 잔인한 로맨스... 
9,마지막 총을 든 지나 데이비스의 망설임이 진정한 사랑이 아닐까 
10,20년 훌쩍 넘은 영화지만 보면서 영화에 빨려 흡수되기에 손색 없다 
9,굉장히 재밌었다. 상상력이 대단하군. 영화가 나온 당시를 감안한다면 정말 쩌는거임. 
10,내 인생 가장 충격적인 영화다 . . . 
10,"영화 시작부터 끝까지 한시도 눈을 뗄수가 없다. 남자주인공의 소름끼치는 연기가 압권이고,젊은 지나데이비스는 참 이쁘게 나온다. 감독의 연출력이 대단한 작품 "
10,이감독 대단한 색깔을 가진 영화를 만든다.. 
10,이런 명작영화는 이젠 없는건가. 
7,"초등학교때 봤을때, 뭔가 굉장히 컬쳐쇼크를 받았던 기억이 있는데 얼마전 EBS에서 방영해주었을때 다시한번 컬쳐쇼크;; 과학적으로 말은 안되는것 같긴한데 어쨌든 발상은 신선한 듯. 옛날거라서 허접한 특수효과(분장?)인..."
