score,review
10,대회할ㅤㄸㅒㅤ 은근 긴장되는 ㅋㅋㅋ 근데 한국도 나오는데 왜 중국사람처럼보이든지... 
8,"과거 프랑스 여성의 사랑스런 패션과, 경쾌한 타자소리가 기억에 남는 영화입니다~ 여주인공의 꾸밈없고 자연스런 미모~한국인 타자소녀 나오는 장면이 인상적이에요ㅋㅋ "
9,"""비지니스는 미국, 사랑은 프랑스""  기억에 남는 대사네요. 미국 영화에 익숙한 제게는 영화 전체가 신선하고 색다르고 진한 감동을 주네요. "
10,너무 귀엽고 사랑스러운 영화 
8,"사랑스러운 여주, 대놓고 밝은 동화같은 분위기의 영화 "
10,그저그런 로맨틱 코미디가 아닙니다~로맨틱 코미디도 프랑스에서 만들면 이렇게 멋진 영화가 나오는 군요 ㅋㅋ 문화를 주도해 나갔던 유럽인들의 풍속사를 잘 재현해 내었네요~ 코디디는 기본이구요! 이놈의 망할 제목때문에 안...
10,다소 평이한 스토리이지만 보고나면 기분이 좋아지는 영화네요. 여자 주인공이 너무나도 매력적이네요 
7,타자연습 하고싶다.. 
8,오랜만에 유쾌한 프랑스 로맨틱 영화! 타자기가 사고싶어질껄.. 
8,정말 그 시대 프랑스를 보는 느낌이어서 좋았다~ 로즈도 너무 사랑스러워 
10,재밌다 타자기로 존나 긴장감 쩔음 
8,사랑하는 애인의 발전과 성공을 위해 뒤로 물러설줄 아는 진정한 사랑 
10,정말 사랑스러운 영화~! 타자기 연습하느라 손톱에 칠한 매니큐어도 귀여웠어요ㅎㅎ 
7,솔직한 여주인공이 참 맘에들어 
10,'사랑은 타이핑 중' 영화 개봉 한지 2주만에 대부분의 극장에선 내리고 광주극장에서만 상영해서 겨우 봤어요. 극의 결말은 예상이되지만 1950년대 타이핑 대회가 있던 사회를 보여주고 한국 소녀가 나오는...
9,오랜만에 정석의 로코를 봤는데 소재가 참신해서 뻔하면서도 지루하지 않게 봤어요ㅎㅎ 무엇보다도 배우들이 배역에 매우 잘 어울리고 사랑스럽고 멋지구..ㅎㅎ 그리구 1950년대 배경이라 고전 여성복이나 그당시 스타일을 잘...
8,"다 좋은데, 왜 한국 대표 여자 아이가 중국 치파오 입고 나오는거임? 짜증나게 씨리. 그 옆에 있는 엄마같은 사람도 완전 몸매 드러나는 치파오 입었더만. 이거 도대체 뭐하는 영화임? "
8,타이핑 대회라는 소재를 제외하고 뻔한 로맨틱 코미디의 공식을 따라가지만 타이핑 대회가 생각보다 박진감 있는 듯...ㅎㅎ 초반의 뭔가 톡톡 튀는 재기발랄함을 끝까지 이어같다면 더 좋았을 것 같음. 프랑스 특유의 유머가...
10,마음이 우울할때 기분전환이 필요할때 보기 좋은영화 생각외로 배경음악도 꽤나 맘에들었던 영화 
8,프랑스 영화 싫었었는데  좋아졌다 
10,영화를 보고나면 여주와 남주에게 빠지게됩니다...둘다 너무 귀엽.... 
8,귀엽고 사랑스러운 영화. 주인공 두명과 주위 사람들 모두 매력넘친다. je t'amie 가 그렇게 멋있게 들리는건 오랜만이었다. 
10,색감이며 느낌이며 너무 좋고재밌다 눈이 즐거워지는 영화 노래도 색깔도 여주인공도 참예쁘다 
6,참신한 소재에 사랑스러운 연출. 그런데 왜 여자 주인공은 항상 푼수여야 하는 걸까? 극이 진행될수록 뻔함의 연속이라 아쉬운 작품. 
10,여주인공이 너무 사랑스러웠고 색감도 예뻐서 좋았어요ㅎㅎ소소하게 자꾸 웃게 되는 영화 
7,몰입하게 만드는 영화 나도 모르게 빠져든다. 단지 아쉬움이 있다면 중간중간 뭔가 연결해주는 매개체가 적다는게 아쉬ㅤㅇㅝㅅ으며 예상 가능햇던 결말이라 그러겠지하며 ㅤㅂㅘㅅ지만 그래도 빠져들게하는 매력이있다 
8,첨에 루이가 로즈에게 흑심을 품은 건줄알고 그뒤에 내용이 평이하게 흘러갈거라 생각했는대 ...전혀 아니군 ㅎㅎ 이놈의 음란마귀ㅋㅋ 재밌슴! 
10,왠지 전형적인 우리나라 재벌2세와 시골여자의 사랑 얘기같지만. 탁월한 영상미와 지루하지 않고 즐겁게 볼 수 있고 여자주인공 매력에 빠져드는 영화! 
8,영화는 귀여움ㅎㅎㅎ근데 1959년에 우리나라에서 미국까지가서 타이핑대회할 여건이ㅤㄷㅚㅆ을까ㅋㅋ좀 더 조사좀하시지...; 그리고 또 우리나라 사람 배우....약간 한국삘은아님ㅋㅋㅋ완전 아님 
10,뻔한 로맨스 영화가 아니다 그 당시 여자들의 패션과 사회적인 시대상을 알수있는 매력있는영화 
10,뻔한듯. 그러나 너무사랑스러운. 
10,프랑스의 소소한 모습들과 배우들의 조합이 정말 잘맞았던영화까칠하고 예민한 루이지만 그런 그도 사랑스러운 로즈를 만나고 합숙훈련을 하면서  자존감도 회복하고 점차 부드러워져 갔던..제모습과 루이의 모습이 너무닮아 더 ...
7,"연출, 시나리오, 연기, 조명, 음악. 이 모든 것이 잘 어울어진  잘빠진 상업용 로맨스 영화! 스피드 타이핑이란 소재도 좋았고 파스텔톤의 화사한 톤도 GOOD! "
10,좋은영화 재밌게봤습니다 
10,꿀잼 ㅋㅋ 전에 봤는데 또 생각나서 또 봤는데 다시 봐도 넘 재밌다 ! 여주진짜 러블리 ㅠ 영화자체가 사랑스럽고 마음이 간질간질해 지는 영화! 배경음악들도 넘 좋음 특히 타자기소리가 중독성ㅤㅉㅓㄻ ㅋㅋ 
9,타이핑은 스포츠다! 대박! 
10,너무 재밌네요~ 화면도 예쁘구요ㅎㅎ 잘봤습니다^^ 
10,ost가 너무 좋아서 더 좋았다 
10,달달한게 보고싶어서 그럴줄 알았는데유머와 감동까지 있네요.보는 내내 행복했어요 ^^ 
10,타자기 사고싶어지는 유쾌한 영화 
10,남주 진짜 심쿵.. 오랜만에 너무 설레는 영화를 봤네요ㅠ 
9,"프랑스 영화 특유의 발랄하고 상큼한 에너지로 가득찬 로맨틱 코미디! 독수리타법 시골처녀가, 사부와 연애전투하며, 세계 챔피언으로 질주한다! 독특하고 참신한 소재와 각본, 매력적인 괴짜 남녀배우들의 호연, 즐겁고 경쾌..."
5,순박한 여성의 성공이라는 도식적인 키치함은 여성에게나 어필. 
10,혼자보기 아깝다~~~~아깝다 아까워~~~~ 
10,"정말 사랑스럽고, 아기자기 하며 경쾌한 영화! 무엇보다 여주인공이 너무 예쁘고, 개인적으로 배경음악 설정을 아주 잘한 것 같아요. 영화 전반적인 내용이 앞서 말한 것 처럼 경쾌하기 때문에 밝은 로맨스 영화 좋아하시는..."
6,흥미로운 이야기지만 절절하지는 않다. 
1,뻔하고 유치하고 상업적인 수출용 영화.. 1959년 배경에 대한민국 어린이가 타이핑대회 나갔다고 해서 코웃음 나왔네.. 우리나라 타겟으로 만드셨쎄여 
10,"보고 나면 기분이 좋아지는, 타자기 소리처럼 경쾌하고 즐거운 영화♡ "
10,진부하지만 이상하게 몇번을 돌려봐도 지겹지 않을 사랑스러운 영화 
10,France for love! 그야말로 사랑스러운 영화 
10,여자주인공이 너무 사랑스러웠다~ 
10,로망뒤리스가 나오는 영화는 다 보는게 2015년 목표!  이런 상큼한 영화를 보게되다니!  새해에 좋은 영화 볼수 있게 해주셔서 감사합니다♥ 
10,"영화 포스터만큼이나 사랑스러운 영화. 흠 잡을 데 없는 이야기에, 타이핑이란 소재도 참신하고. 흥미진진하게 봤어요. 그나저나 끝에 나온 골프공 타자기 실제로도 있는 건가요?! "
8,독수리 타법이 인상적인 영화!! 
10,"사랑스러운 영화, 나도 행복할수있었는데 "
8,전형적인 프랑스식의 사랑스럽고 유쾌한 영화입니다 
7,로맨스와 함께 점점 빨라지는 타이핑이 관람 포인트! 그저 귀여움 ㅠㅠ 
3,뻔하고 식상한 전개.여중생들이나 재밌다고 볼 영화 
3,나만재미없었나봐ㅠ진짜시간안가고재미없든데그나마 배경보는재미는잇엇네 
8,기분 좋아지는 영화네요 
10,귀여운여인 보는것과 같은 느낌 . 사랑스러운 영화. 영화본 후 지금 치는 타자가 색다르게 느껴짐ㅋㅋ 
10,보는 내내 즐거웠던 영화~  여주가 너무 사랑스럽고♥ 남자주인공의 꿀 떨어지는 눈빛이 설레는 영화ㅋㅋㅋ 
10,무뚝뚝한 사람도 미소짓게 만들어요 
9,한국 4강~!! ㅋㅋㅋ 
7,사랑의 감정(?)이 짙어질수록 타이핑 속도와 집중력은 날로 승승장구...과하지(?) 않은 컬러풀한 고전 영화같은 느낌의 러블리한 영상...현대/고전(?) 배경 등 다양한 시대적 배경에 정말 잘 어울리는 로맹 뒤리스....
10,간만에 너무 사랑스러운영화 고전스타일을 현대적으로 이끌어냈으며 그당시 물건들을 다 구해놓는 치밀함과 IBM의 원형 전동타자기 정말 대박 ㅎㅎ 
10,배경과 대사가 너무 좋음 
10,58년도 프랑스느낌을 잘 표현한 전형적인 프랑스영화. 
1,성희롱과 성추행이 난무하는 영화사디스트인지 마조히스트인지... 고개를 절레절레 흔들게 된다.. 
10,잼나요^^♡♡웅 10자 
9,장르는 로맨틱코메디스포츠?ㅋ귀여운 영화네요~여주인공도 내용도ㅋ 
8,이탈리아의 웰컴투사우스와 비견되는 일상코믹영화 같군요 재미있게봤고 대화도 표정도 패션도 참 좋습니다. 즐거웠어요 
10,쥬뗌므~ 넘 좋은 영화!# 
10,여주 아버지도 그렇고 루이도 그렇듯이 감정은 표현해야 그 진심이 전해지는 것 같네요.숨김없이.. 
10,국내에도 이런영화가 많이 개봉해야지..신과함께같은거 볼시간에 
1,여자를 멍청이로 잘 표현했다 
